Turn,Current_Player,Num_Turns,Resource_Bank,Dev_Card_Bank,Actions_Taken,RED_VP,RED_Settlements,RED_Cities,RED_Roads,RED_Dev_Cards,RED_Class,BLUE_VP,BLUE_Settlements,BLUE_Cities,BLUE_Roads,BLUE_Dev_Cards,BLUE_Class,Num_Players,Winner,Game_ID
0,RED,0,"[17, 19, 19, 18, 19]",25,0,0,0,0,0,0,RandomPlayer,0,0,0,0,0,RandomPlayer,2,RED,1
1,RED,0,"[17, 19, 19, 18, 19]",25,1,1,1,0,0,0,RandomPlayer,0,0,0,0,0,RandomPlayer,2,RED,1
2,BLUE,1,"[17, 19, 19, 18, 19]",25,2,1,1,0,1,0,RandomPlayer,0,0,0,0,0,RandomPlayer,2,RED,1
3,BLUE,1,"[17, 19, 19, 18, 19]",25,3,1,1,0,1,0,RandomPlayer,1,1,0,0,0,RandomPlayer,2,RED,1
4,BLUE,1,"[17, 19, 19, 18, 19]",25,4,1,1,0,1,0,RandomPlayer,1,1,0,1,0,RandomPlayer,2,RED,1
5,BLUE,1,"[17, 19, 19, 18, 19]",25,5,1,1,0,1,0,RandomPlayer,2,2,0,1,0,RandomPlayer,2,RED,1
6,RED,2,"[17, 19, 19, 18, 19]",25,6,1,1,0,1,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
7,RED,2,"[17, 19, 19, 18, 19]",25,7,2,2,0,1,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
8,RED,2,"[17, 19, 19, 18, 19]",25,8,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
9,RED,2,"[17, 19, 19, 18, 19]",25,9,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
10,RED,2,"[17, 19, 19, 18, 19]",25,10,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
11,BLUE,3,"[17, 19, 19, 18, 19]",25,11,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
12,BLUE,3,"[17, 19, 19, 18, 19]",25,12,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
13,RED,4,"[17, 19, 19, 18, 19]",25,13,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
14,RED,4,"[16, 19, 19, 18, 19]",25,14,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
15,BLUE,5,"[16, 19, 19, 18, 19]",25,15,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
16,BLUE,5,"[16, 19, 19, 18, 19]",25,16,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
17,RED,6,"[16, 19, 19, 18, 19]",25,17,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
18,RED,6,"[16, 19, 19, 18, 19]",25,18,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
19,BLUE,7,"[16, 19, 19, 18, 19]",25,19,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
20,BLUE,7,"[16, 19, 19, 17, 19]",25,20,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
21,RED,8,"[16, 19, 19, 17, 19]",25,21,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
22,RED,8,"[16, 19, 19, 16, 19]",25,22,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
23,BLUE,9,"[16, 19, 19, 16, 19]",25,23,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
24,BLUE,9,"[16, 19, 19, 16, 19]",25,24,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
25,BLUE,9,"[16, 19, 19, 16, 19]",25,25,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
26,BLUE,9,"[16, 18, 19, 19, 19]",25,26,2,2,0,2,0,RandomPlayer,2,2,0,2,0,RandomPlayer,2,RED,1
27,BLUE,9,"[17, 19, 19, 19, 19]",25,27,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
28,RED,10,"[17, 19, 19, 19, 19]",25,28,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
29,RED,10,"[17, 19, 19, 19, 19]",25,29,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
30,RED,10,"[17, 19, 19, 19, 19]",25,30,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
31,BLUE,11,"[17, 19, 19, 19, 19]",25,31,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
32,BLUE,11,"[17, 19, 19, 19, 19]",25,32,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
33,RED,12,"[17, 19, 19, 19, 19]",25,33,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
34,RED,12,"[17, 19, 19, 18, 19]",25,34,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
35,BLUE,13,"[17, 19, 19, 18, 19]",25,35,2,2,0,2,0,RandomPlayer,2,2,0,3,0,RandomPlayer,2,RED,1
